"Key","en","hi","bn","gu","ml","mr","ta","te","ur"
"developer-message-1-1","(with no waiting too!)","(कोई इंतजार नहीं!)","(খুব অপেক্ষা না করে!)","(કોઈ રાહ જોતા પણ નહીં!)","(കാത്തിരിക്കാതെ!)","(प्रतीक्षाही न करता!)","(காத்திருக்காமல்!)","(వేచి ఉండకుండా!)","(انتظار بھی نہیں!)"
"developer-message-2","However, if possible, consider supporting the development. At only one coffee ☕ a month, your support plays a crucial role in this application's future growth. Thank you 😄","हालांकि, यदि संभव हो, तो विकास का समर्थन करने पर विचार करें। केवल एक महीने में, एक महीने में, आपका समर्थन इस आवेदन के भविष्य के विकास में महत्वपूर्ण भूमिका निभाता है। धन्यवाद 😄","তবে, যদি সম্ভব হয় তবে উন্নয়নকে সমর্থন করার বিষয়টি বিবেচনা করুন। এক মাসে মাত্র একটি কফিতে, আপনার সমর্থন এই অ্যাপ্লিকেশনটির ভবিষ্যতের বৃদ্ধিতে গুরুত্বপূর্ণ ভূমিকা পালন করে। আপনাকে ধন্যবাদ 😄","જો કે, જો શક્ય હોય તો, વિકાસને ટેકો આપવાનો વિચાર કરો. ફક્ત એક કોફી પર ☕ મહિને, તમારો ટેકો આ એપ્લિકેશનની ભાવિ વૃદ્ધિમાં નિર્ણાયક ભૂમિકા ભજવે છે. આભાર 😄","എന്നിരുന്നാലും, സാധ്യമെങ്കിൽ, വികസനത്തെ പിന്തുണയ്ക്കുന്നത് പരിഗണിക്കുക. ഒരു കോഫിയിൽ മാത്രം ഒരു മാസത്തിൽ, ഈ അപ്ലിക്കേഷന്റെ ഭാവി വളർച്ചയിൽ നിങ്ങളുടെ പിന്തുണ നിർണായക പങ്ക് വഹിക്കുന്നു. നന്ദി 😄","तथापि, शक्य असल्यास, विकासास पाठिंबा देण्याचा विचार करा. एका महिन्यात फक्त एक कॉफी - या अनुप्रयोगाच्या भविष्यातील वाढीमध्ये आपले समर्थन महत्त्वपूर्ण भूमिका बजावते. धन्यवाद 😄","இருப்பினும், முடிந்தால், வளர்ச்சியை ஆதரிப்பதைக் கவனியுங்கள். ஒரு மாதத்திற்கு ஒரே ஒரு காபியில், இந்த பயன்பாட்டின் எதிர்கால வளர்ச்சியில் உங்கள் ஆதரவு முக்கிய பங்கு வகிக்கிறது. நன்றி","అయితే, వీలైతే, అభివృద్ధికి మద్దతు ఇవ్వడాన్ని పరిగణించండి. నెలకు ఒక్క కాఫీ వద్ద మాత్రమే, ఈ అనువర్తనం యొక్క భవిష్యత్తు వృద్ధిలో మీ మద్దతు కీలక పాత్ర పోషిస్తుంది. ధన్యవాదాలు","تاہم ، اگر ممکن ہو تو ، ترقی کی حمایت کرنے پر غور کریں۔ صرف ایک کافی میں ☕ ایک مہینے میں ، آپ کی مدد اس اطلاق کی مستقبل کی نمو میں اہم کردار ادا کرتی ہے۔ آپ کا شکریہ 😄"
"support","Support","सहायता","সমর্থন","ટેકો","പിന്താങ്ങുക","समर्थन","ஆதரவு","మద్దతు","تائید"
"unlock-for-free","Unlock for Free","मुफ्त में अनलॉक करें","বিনামূল্যে আনলক","મફત માટે અનલ lock ક કરો","സ free ജന്യമായി അൺലോക്കുചെയ്യുക","विनामूल्य अनलॉक","இலவசமாக திறக்கவும்","ఉచితంగా అన్‌లాక్ చేయండి","مفت میں انلاک"
"no-free-stuff","No, I don't want free stuff","नहीं, मुझे मुफ्त सामान नहीं चाहिए","না, আমি বিনামূল্যে জিনিস চাই না","ના, મારે મફત સામગ્રી નથી જોઈતી","ഇല്ല, എനിക്ക് സ്വതന്ത്ര സ്റ്റഫ് വേണ്ട","नाही, मला विनामूल्य सामग्री नको आहे","இல்லை, எனக்கு இலவச விஷயங்களை விரும்பவில்லை","లేదు, నాకు ఉచిత విషయాలు వద్దు","نہیں ، میں مفت چیزیں نہیں چاہتا"
"search-transactions-placeholder","Search transactions...","खोज लेनदेन ...","লেনদেন অনুসন্ধান ...","શોધ વ્યવહાર ...","തിരയൽ ഇടപാടുകൾ ...","शोध व्यवहार ...","பரிவர்த்தனைகளைத் தேடுங்கள் ...","శోధన లావాదేవీలు ...","تلاش کے لین دین ..."
"scheduled","Scheduled","अनुसूचित","তালিকাভুক্ত","નિર્ધારિત","പട്ടികയുണ്ടാക്കുന്ന","शेड्यूल","திட்டமிடப்பட்ட","షెడ్యూల్ చేయబడింది","شیڈول"
"loans","Loans","ऋण","Loans ণ","લોન","വായ്പകൾ","कर्ज","கடன்கள்","రుణాలు","قرضے"
"add-credit","Add Credit","क्रेडिट जोड़ने","ক্রেডিট যোগ করুন","ક્રેડિટ ઉમેરો","ക്രെഡിറ്റ് ചേർക്കുക","क्रेडिट जोडा","கடன் சேர்க்கவும்","క్రెడిట్ జోడించండి","کریڈٹ شامل کریں"
"add-debt","Add Debt","कर्ज जोड़ें","Debt ণ যোগ করুন","દેવું ઉમેરો","കടം ചേർക്കുക","कर्ज जोडा","கடனைச் சேர்க்கவும்","రుణాన్ని జోడించండి","قرض شامل کریں"
"add-upcoming","Add Upcoming","आगामी जोड़ें","আসন্ন যোগ করুন","આગામી ઉમેરો","വരാനിരിക്കുന്നതു ചേർക്കുക","आगामी जोडा","வரவிருக்கும் சேர்க்கவும்","రాబోయే జోడించండి","آئندہ شامل کریں"
"you-owe","You owe","आप ऋणी हैं","আপনি পাওনা","તમે .ણી","നിങ്ങൾ കടപ്പെട്ടിരിക്കുന്നു","तुला देणं आहे","நீங்கள் கடன்பட்டிருக்கிறீர்கள்","నీవు బాకీ ఉన్నావు","آپ کا مقروض ہے"
"you-get","You get","आपको मिला","তুমি পাও","તમે મેળવો","നിങ്ങൾക്ക് ലഭിക്കും","तुला मिळाले","நீங்கள் பெறுவீர்கள்","మీరు పొందుతారు","تم سمجھے"
"heat-map","Heatmap","गर्मी के नक्शे","তাপ মানচিত্র","હીટમેપ","ചൂട് മാപ്പ്","उष्णतामॅप","வெப்ப வரைபடம்","ఉష్ణోగ్రత పటం","حرارت کا نقشہ"
"select-budget-type","Select Budget Type","बजट प्रकार का चयन करें","বাজেটের ধরণ নির্বাচন করুন","બજેટ પ્રકાર પસંદ કરો","ബജറ്റ് തരം തിരഞ്ഞെടുക്കുക","बजेट प्रकार निवडा","பட்ஜெட் வகையைத் தேர்ந்தெடுக்கவும்","బడ్జెట్ రకాన్ని ఎంచుకోండి","بجٹ کی قسم منتخب کریں"
"added-only-description-1","Only the transactions you add","केवल आपके द्वारा जोड़ने वाले लेनदेन","আপনি কেবল যুক্ত লেনদেন","ફક્ત તમે જે વ્યવહારો ઉમેરશો","നിങ്ങൾ ചേർക്കുന്ന ഇടപാടുകൾ മാത്രം","केवळ आपण जोडलेले व्यवहार","நீங்கள் சேர்க்கும் பரிவர்த்தனைகள் மட்டுமே","మీరు జోడించే లావాదేవీలు మాత్రమే","صرف ان لین دین میں جو آپ شامل کرتے ہیں"
"added-only-description-2","Useful for one-time budgets with custom time periods","कस्टम समय अवधि के साथ एक बार के बजट के लिए उपयोगी","কাস্টম সময়কাল সহ এককালীন বাজেটের জন্য দরকারী","કસ્ટમ સમયગાળા સાથે એક સમયના બજેટ માટે ઉપયોગી","ഇഷ്ടാനുസൃത സമയ കാലയളവുകളുള്ള ഒറ്റത്തവണ ബജറ്റുകൾക്ക് ഉപയോഗപ്രദമാണ്","सानुकूल कालावधीसह एक-वेळच्या बजेटसाठी उपयुक्त","தனிப்பயன் காலங்களுடன் ஒரு முறை வரவு செலவுத் திட்டங்களுக்கு பயனுள்ளதாக இருக்கும்","అనుకూల కాల వ్యవధులతో వన్-టైమ్ బడ్జెట్లకు ఉపయోగపడుతుంది","کسٹم ٹائم پیریڈ کے ساتھ ایک وقتی بجٹ کے لئے مفید ہے"
"added-only-description-3","Example: 'Vacation' budget","उदाहरण: 'अवकाश' बजट","উদাহরণ: 'অবকাশ' ​​বাজেট","ઉદાહરણ: 'વેકેશન' બજેટ","ഉദാഹരണം: 'അവധിക്കാല' ബജറ്റ്","उदाहरणः 'सुट्टीतील' बजेट","எடுத்துக்காட்டு: 'விடுமுறை' பட்ஜெட்","ఉదాహరణ: 'సెలవు' బడ్జెట్","مثال کے طور پر: 'تعطیلات' بجٹ"
"all-transactions-description-1","All transactions within selected categories and filters","चयनित श्रेणियों और फिल्टर के भीतर सभी लेनदेन","নির্বাচিত বিভাগ এবং ফিল্টারগুলির মধ্যে সমস্ত লেনদেন","પસંદ કરેલી કેટેગરીઝ અને ફિલ્ટર્સમાંના તમામ વ્યવહારો","തിരഞ്ഞെടുത്ത വിഭാഗങ്ങളിലെ എല്ലാ ഇടപാടുകളും, ഫിൽട്ടറുകൾ","निवडलेल्या श्रेणी आणि फिल्टरमधील सर्व व्यवहार","தேர்ந்தெடுக்கப்பட்ட பிரிவுகள் மற்றும் வடிப்பான்களுக்குள் உள்ள அனைத்து பரிவர்த்தனைகளும்","ఎంచుకున్న వర్గాలు మరియు ఫిల్టర్లలోని అన్ని లావాదేవీలు","منتخب کردہ زمرے اور فلٹرز کے اندر تمام لین دین"
"all-transactions-description-2","Useful for long term budgets over multiple periods","कई अवधियों में दीर्घकालिक बजट के लिए उपयोगी है","একাধিক সময়কালে দীর্ঘমেয়াদী বাজেটের জন্য দরকারী","બહુવિધ સમયગાળા દરમિયાન લાંબા ગાળાના બજેટ માટે ઉપયોગી","ഒന്നിലധികം കാലയളവുകളിൽ ദീർഘകാല ബജറ്റുകൾക്ക് ഉപയോഗപ്രദമാണ്","एकाधिक कालावधीत दीर्घकालीन बजेटसाठी उपयुक्त","பல காலங்களில் நீண்ட கால வரவு செலவுத் திட்டங்களுக்கு பயனுள்ளதாக இருக்கும்","బహుళ కాలాలలో దీర్ఘకాలిక బడ్జెట్లకు ఉపయోగపడుతుంది","متعدد ادوار میں طویل مدتی بجٹ کے لئے مفید ہے"
"all-transactions-description-3","Example: 'Monthly Spending' budget","उदाहरण: 'मासिक खर्च' बजट","উদাহরণ: 'মাসিক ব্যয়' বাজেট","ઉદાહરણ: 'માસિક ખર્ચ' બજેટ","ഉദാഹരണം: 'പ്രതിമാസ ചെലവ്' ബജറ്റ്","उदाहरणः 'मासिक खर्च' बजेट","எடுத்துக்காட்டு: 'மாதாந்திர செலவு' பட்ஜெட்","ఉదాహరణ: 'నెలవారీ ఖర్చు' బడ్జెట్","مثال: 'ماہانہ خرچ' بجٹ"
"no-budgets-found","No budgets found.","कोई बजट नहीं मिला।","কোনও বাজেট পাওয়া যায় নি।","કોઈ બજેટ મળ્યું નથી.","ബജറ്റുകളൊന്നും കണ്ടെത്തിയില്ല.","कोणतेही बजेट सापडले नाही.","வரவு செலவுத் திட்டங்கள் எதுவும் கிடைக்கவில்லை.","బడ్జెట్లు కనుగొనబడలేదు.","کوئی بجٹ نہیں ملا۔"
"no-categories-found","No categories found.","कोई श्रेणियां नहीं मिली।","কোনও বিভাগ পাওয়া যায় নি।","કોઈ વર્ગો મળી નથી.","വിഭാഗങ്ങളൊന്നും കണ്ടെത്തിയില്ല.","कोणत्याही श्रेणी आढळल्या नाहीत.","வகைகள் எதுவும் கிடைக்கவில்லை.","వర్గాలు ఏవీ కనుగొనబడలేదు.","کوئی زمرے نہیں ملے۔"
"no-accounts-found","No accounts found.","कोई खाता नहीं मिला।","কোনও অ্যাকাউন্ট পাওয়া যায় নি।","કોઈ એકાઉન્ટ્સ મળ્યાં નથી.","അക്കൗണ്ടുകളൊന്നും കണ്ടെത്തിയില്ല.","कोणतीही खाती सापडली नाहीत.","கணக்குகள் எதுவும் கிடைக்கவில்லை.","ఖాతాలు కనుగొనబడలేదు.","کوئی اکاؤنٹ نہیں ملا۔"
"no-titles-found","No titles found.","कोई शीर्षक नहीं मिला।","কোনও শিরোনাম পাওয়া যায় নি।","કોઈ ટાઇટલ મળ્યાં નથી.","ശീർഷകങ്ങളൊന്നും കണ്ടെത്തിയില്ല.","कोणतीही शीर्षके सापडली नाहीत.","தலைப்புகள் எதுவும் கிடைக்கவில்லை.","శీర్షికలు కనుగొనబడలేదు.","کوئی عنوان نہیں ملا۔"
"translations","Translations","अनुवाद","অনুবাদ","ભાષાંતર","വിവർത്തനങ്ങൾ","भाषांतर","மொழிபெயர்ப்புகள்","అనువాదాలు","ترجمہ"
"ask-for-notes-with-title","Ask For Note With Title","शीर्षक के साथ नोट के लिए पूछें","শিরোনাম সহ নোটের জন্য জিজ্ঞাসা করুন","શીર્ષક સાથે નોંધ માટે પૂછો","ശീർഷകത്തിൽ കുറിപ്പ് ചോദിക്കുക","शीर्षकासह नोटसाठी विचारा","தலைப்புடன் குறிப்பு கேளுங்கள்","శీర్షికతో గమనిక కోసం అడగండి","عنوان کے ساتھ نوٹ کریں"
"ask-for-notes-with-title-description","When entering the title","शीर्षक में प्रवेश करते समय","শিরোনাম প্রবেশ করার সময়","જ્યારે શીર્ષક દાખલ કરો","ശീർഷകം നൽകുമ്പോൾ","शीर्षक प्रविष्ट करताना","தலைப்பில் நுழையும் போது","శీర్షికను నమోదు చేసేటప్పుడు","جب عنوان داخل کریں"
"enter-period-length","Enter Period Length","अवधि की लंबाई दर्ज करें","পিরিয়ড দৈর্ঘ্য প্রবেশ করান","અવધિ લંબાઈ દાખલ કરો","കാലയളവ് ദൈർഘ്യം നൽകുക","कालावधी लांबी प्रविष्ट करा","கால நீளத்தை உள்ளிடவும்","వ్యవధి పొడవును నమోదు చేయండి","مدت کی لمبائی درج کریں"
"export-csv","Export CSV File","निर्यात CSV फ़ाइल","সিএসভি ফাইল রফতানি করুন","નિકાસ સીએસવી ફાઇલ","CSV ഫയൽ എക്സ്പോർട്ടുചെയ്യുക","सीएसव्ही फाइल निर्यात करा","CSV கோப்பை ஏற்றுமதி செய்யுங்கள்","CSV ఫైల్‌ను ఎగుమతి చేయండి","CSV فائل برآمد کریں"
"export-csv-warning","Data Backup","डेटा बैकअप","তথ্য সংরক্ষণ","આધારપત્રક","ഡാറ്റ ബാക്കപ്പ്","डेटा बॅकअप","தரவு காப்புப்பிரதி","డేటా బ్యాకప్","ڈیٹا بیک اپ"
"export-csv-warning-description","Exporting to CSV should not be used as a backup of data. Budgets and detailed app data is not exported in the CSV! Please use Google Drive or the Import and Export data settings below.","CSV को निर्यात का उपयोग डेटा के बैकअप के रूप में नहीं किया जाना चाहिए। CSV में बजट और विस्तृत ऐप डेटा निर्यात नहीं किया गया है! कृपया नीचे दिए गए Google ड्राइव या आयात और निर्यात डेटा सेटिंग्स का उपयोग करें।","সিএসভিতে রফতানি করা ডেটা ব্যাকআপ হিসাবে ব্যবহার করা উচিত নয়। বাজেট এবং বিশদ অ্যাপ্লিকেশন ডেটা সিএসভিতে রফতানি করা হয় না! দয়া করে নীচে গুগল ড্রাইভ বা আমদানি এবং রফতানি ডেটা সেটিংস ব্যবহার করুন।","સીએસવીમાં નિકાસ કરવાથી ડેટાના બેકઅપ તરીકે ઉપયોગ થવો જોઈએ નહીં. બજેટ અને વિગતવાર એપ્લિકેશન ડેટા સીએસવીમાં નિકાસ કરવામાં આવતો નથી! કૃપા કરીને નીચે ગૂગલ ડ્રાઇવ અથવા આયાત અને નિકાસ ડેટા સેટિંગ્સનો ઉપયોગ કરો.","CSV ലേക്ക് എക്സ്പോർസിംഗ് ഡാറ്റയുടെ ബാക്കപ്പ് ആയി ഉപയോഗിക്കരുത്. ബജുകളും വിശദമായ അപ്ലിക്കേഷൻ ഡാറ്റയും സിഎസ്വിയിൽ എക്സ്പോർട്ടുചെയ്തിട്ടില്ല! Google ഡ്രൈവ് അല്ലെങ്കിൽ ഇറക്കുമതി ചെയ്ത് ഡാറ്റ എക്സ്പോർട്ടുചെയ്യുക ഡാറ്റ ക്രമീകരണങ്ങൾ ചുവടെ ഉപയോഗിക്കുക.","सीएसव्हीला निर्यात करणे डेटाचा बॅकअप म्हणून वापरले जाऊ नये. बजेट आणि तपशीलवार अ‍ॅप डेटा सीएसव्हीमध्ये निर्यात केला जात नाही! कृपया Google ड्राइव्ह किंवा खाली आयात आणि निर्यात डेटा सेटिंग्ज वापरा.","CSV க்கு ஏற்றுமதி செய்வது தரவின் காப்புப்பிரதியாக பயன்படுத்தப்படக்கூடாது. CSV இல் வரவு செலவுத் திட்டங்கள் மற்றும் விரிவான பயன்பாட்டு தரவு ஏற்றுமதி செய்யப்படவில்லை! கூகிள் டிரைவ் அல்லது கீழே உள்ள இறக்குமதி மற்றும் ஏற்றுமதி தரவு அமைப்புகளைப் பயன்படுத்தவும்.","CSV కి ఎగుమతి చేయడం డేటా యొక్క బ్యాకప్‌గా ఉపయోగించకూడదు. CSV లో బడ్జెట్లు మరియు వివరణాత్మక అనువర్తన డేటా ఎగుమతి చేయబడలేదు! దయచేసి గూగుల్ డ్రైవ్ లేదా దిగువ దిగుమతి మరియు ఎగుమతి డేటా సెట్టింగులను ఉపయోగించండి.","CSV کو برآمد کرنا ڈیٹا کے بیک اپ کے طور پر استعمال نہیں ہونا چاہئے۔ بجٹ اور تفصیلی ایپ کا ڈیٹا CSV میں برآمد نہیں کیا جاتا ہے! براہ کرم ذیل میں گوگل ڈرائیو یا درآمد اور برآمد ڈیٹا کی ترتیبات کا استعمال کریں۔"
"csv-saved-success","CSV Saved to Device","CSV डिवाइस पर सहेजा","সিএসভি ডিভাইসে সংরক্ষণ করা হয়েছে","સીએસવી ઉપકરણ પર સાચવ્યો","CSV ഉപകരണത്തിലേക്ക് സംരക്ഷിച്ചു","सीएसव्हीने डिव्हाइसवर सेव्ह केले","CSV சாதனத்தில் சேமிக்கப்பட்டது","CSV పరికరానికి సేవ్ చేయబడింది","سی ایس وی نے ڈیوائس میں محفوظ کیا"
"error-exporting","Error Exporting","त्रुटि निर्यात करना","রফতানি ত্রুটি","નિકાસ કરવી","എക്സ്പോർട്ടുചെയ്യുന്നതിൽ പിശക്","त्रुटी निर्यात","பிழை ஏற்றுமதி","లోపం ఎగుమతి","غلطی برآمد کرنے میں"
"backup-downloaded-success","Backup Downloaded to Device","डिवाइस पर डाउनलोड किया गया बैकअप","ব্যাকআপ ডিভাইসে ডাউনলোড হয়েছে","બેકઅપ ડિવાઇસ પર ડાઉનલોડ કર્યું","ബാക്കപ്പ് ഉപകരണത്തിലേക്ക് ഡ download ൺലോഡുചെയ്തു","डिव्हाइसवर बॅकअप डाउनलोड केला","காப்புப்பிரதி சாதனத்திற்கு பதிவிறக்கம் செய்யப்பட்டது","బ్యాకప్ పరికరానికి డౌన్‌లోడ్ చేయబడింది","بیک اپ ڈیوائس پر ڈاؤن لوڈ کیا گیا"
"backup-saved-success","Backup Saved to Device","डिवाइस के लिए सहेजा गया बैकअप","ব্যাকআপ ডিভাইসে সংরক্ষণ করা হয়েছে","બેકઅપ ઉપકરણ પર સાચવ્યું","ബാക്കപ്പ് ഉപകരണത്തിലേക്ക് സംരക്ഷിച്ചു","बॅकअप डिव्हाइसवर सेव्ह","சாதனத்தில் காப்புப்பிரதி சேமிக்கப்பட்டது","బ్యాకప్ పరికరానికి సేవ్ చేయబడింది","بیک اپ ڈیوائس میں محفوظ ہوگیا"
"error-downloading","Error Downloading","त्रुटि डाउनलोड करना","ডাউনলোড করতে ত্রুটি","ડાઉનલોડ ભૂલ","പിശക് ഡൗൺലോഡുചെയ്യുന്നു","त्रुटी डाउनलोड करणे","பதிவிறக்குவதில் பிழை","డౌన్‌లోడ్ లోపం","ڈاؤن لوڈ کرنے میں خرابی"
"error-saving","Error Saving","त्रुटि सहेजना","ত্রুটি সংরক্ষণ","ભૂલ બચત","പിശക് സംരക്ഷിക്കുന്നു","त्रुटी बचत","பிழை சேமிப்பு","లోపం సేవ్ చేయడం","بچت میں خرابی"
"error-importing","Error Importing","त्रुटि आयात करना","আমদানি ত্রুটি","આયાત","ഇറക്കുമതി ചെയ്യുന്നതിൽ പിശക്","त्रुटी आयात करणे","இறக்குமதி செய்யும் பிழை","దిగుమతి లోపం","درآمد میں خرابی"
"tools","Tools","औजार","সরঞ্জাম","સાધનો","ഉപകരണങ്ങൾ","साधने","கருவிகள்","సాధనాలు","اوزار"
"delete-bill-item-question","Delete Bill Item?","बिल आइटम हटाएं?","বিল আইটেম মুছুন?","બિલ આઇટમ કા Delete ી નાખો?","ബിൽ ഇനം ഇല്ലാതാക്കണോ?","बिल आयटम हटवा?","பில் உருப்படியை நீக்கவா?","బిల్లు అంశాన్ని తొలగించాలా?","بل آئٹم کو حذف کریں؟"
"bill-splitter","Bill Splitter","बिल स्प्लिटर","বিল স্প্লিটার","હૂંડી","ബിൽ സ്പ്ലിറ്റർ","बिल स्प्लिटर","பில் ஸ்ப்ளிட்டர்","బిల్ స్ప్లిటర్","بل اسپلٹر"
"bill-splitter-info","The bill splitter will split a bill you paid for amongst the people who purchased items. You can easily keep track of who owes you certain amounts of money.","बिल स्प्लिटर आपके द्वारा भुगतान किए गए लोगों के लिए आपके द्वारा भुगतान किए गए एक बिल को विभाजित करेगा। आप आसानी से इस बात पर नज़र रख सकते हैं कि आपके पास निश्चित मात्रा में कौन है।","বিল স্প্লিটারটি আইটেম কিনে এমন লোকদের মধ্যে আপনি যে বিলটি দিয়েছিলেন তা বিভক্ত করবে। আপনার নির্দিষ্ট পরিমাণ অর্থের ow ণী কাকে আপনি সহজেই ট্র্যাক রাখতে পারেন।","બિલ સ્પ્લિટર તમે વસ્તુઓ ખરીદનારા લોકોમાં ચૂકવણી કરેલા બિલને વિભાજીત કરશે. તમે સરળતાથી તમારા પૈસાની ચોક્કસ રકમનો ઉપયોગ કરી શકો છો.","ഇനങ്ങൾ വാങ്ങിയ ആളുകൾക്കിടയിൽ നിങ്ങൾ നൽകിയ ബിൽ സ്പ്ലിറ്റർ ഒരു ബിൽ വിഭജിക്കും. നിങ്ങൾക്ക് എന്തെങ്കിലും പണം കടപ്പെട്ടിരിക്കുന്നതായി നിങ്ങൾക്ക് എളുപ്പത്തിൽ ട്രാക്ക് സൂക്ഷിക്കാൻ കഴിയും.","बिल स्प्लिटर ज्यांनी वस्तू खरेदी केलेल्या लोकांमध्ये आपण भरलेले बिल विभाजित केले जाईल. आपल्याकडे काही प्रमाणात पैसे कोण देतात याचा मागोवा आपण सहजपणे ठेवू शकता.","பில் ஸ்ப்ளிட்டர் பொருட்களை வாங்கிய நபர்களிடையே நீங்கள் செலுத்திய மசோதாவைப் பிரிக்கும். குறிப்பிட்ட அளவு பணம் யார் கடன்பட்டிருக்கிறார்கள் என்பதை நீங்கள் எளிதாகக் கண்காணிக்க முடியும்.","బిల్ స్ప్లిటర్ వస్తువులను కొనుగోలు చేసిన వ్యక్తులలో మీరు చెల్లించిన బిల్లును విభజిస్తుంది. మీకు కొంత మొత్తంలో డబ్బు ఎవరు రుణపడి ఉంటారో మీరు సులభంగా ట్రాక్ చేయవచ్చు.","بل اسپلٹر ایک بل تقسیم کرے گا جس کے لئے آپ نے ان لوگوں میں ادائیگی کی ہے جنہوں نے سامان خریدا تھا۔ آپ آسانی سے اس بات پر نظر رکھ سکتے ہیں کہ آپ کے پاس کچھ خاص رقم کون ہے۔"
"clear-bill","Clear Bill","नया बिल","নতুন বিল","નવું બિલ","പുതിയ ബിൽ","नवीन बिल","புதிய மசோதா","కొత్త బిల్లు","نیا بل"
"names","Names","नाम","নাম","નામ","പേരുകേട്ട പേരുകൾ","नावे","பெயர்கள்","పేర్లు","نام"
"summary","Summary","सारांश","সারসংক্ষেপ","સારાંશ","സംഗഹം","सारांश","சுருக்கம்","సారాంశం","خلاصہ"
"edit-item","Edit Item","संपादित आइटम","আইটেম সম্পাদনা করুন","વસ્તુ સંપાદિત કરો","ഇനം എഡിറ്റുചെയ്യുക","आयटम संपादित करा","உருப்படியைத் திருத்தவும்","అంశాన్ని సవరించండి","آئٹم میں ترمیم کریں"
"add-item","Add Item","मद जोड़ें","আইটেম যোগ করুন","વસ્તુ ઉમેરો","ഇനം ചേർക്കുക","सामान जोडा","உருப்படியைச் சேர்க்கவும்","వస్తువు జోడించు","آئٹم شامل کریں"
"update-item","Update Item","अद्यतन आइटम","আইটেম আপডেট করুন","વસ્તુ અપડેટ કરો","ഇനം അപ്ഡേറ്റുചെയ്യുക","आयटम अद्यतनित करा","உருப்படியைப் புதுப்பிக்கவும்","అంశాన్ని నవీకరించండి","آئٹم کو اپ ڈیٹ کریں"
"delete-item","Delete Item","चीज़ें हटाएं","আইটেম মুছুন","વસ્તુ કા Delete ી નાખો","ഇനം ഇല്ലാതാക്കുക","आयटम हटवा","உருப்படியை நீக்கு","అంశాన్ని తొలగించండి","آئٹم کو حذف کریں"
"owed-to-you","Owed to you","आप के लिए बकाया है","তোমাকে owed ণী","તમને ow ણી","നിങ്ങൾക്ക് കടപ്പെട്ടിരിക്കുന്നു","तुला .णी","உங்களுக்கு கடமைப்பட்டிருந்தது","మీకు రుణపడి ఉంది","آپ کا مقروض"
"name","Name","नाम","নাম","નામ","പേര്","नाव","பெயர்","పేరు","نام"
"who-are-you-question","Who Are You?","आप कौन हैं?","তুমি কে?","તમે કોણ છો?","നിങ്ങൾ ആരാണ്?","तू कोण आहेस?","யார் நீ?","నీవెవరు?","تم کون ہو؟"
"who-are-you-description","You should be the one who paid the bill","आपको वह होना चाहिए जिसने बिल का भुगतान किया।","বিলটি প্রদান করা আপনার উচিত।","તમારે તે જ હોવું જોઈએ જેણે બિલ ચૂકવ્યું હતું","നിങ്ങൾ ബിൽ അടച്ചയാളായിരിക്കണം","आपण बिल भरले पाहिजे","மசோதாவை செலுத்தியவராக நீங்கள் இருக்க வேண்டும்","మీరు బిల్లు చెల్లించిన వారు ఉండాలి","آپ کو وہ ہونا چاہئے جس نے بل ادا کیا۔"
"split-evenly","Split Evenly","समान रूप से विभाजित","সমানভাবে বিভক্ত","સમાનરૂપે વિભાજિત થવું","തുല്യമായി വിഭജിക്കുക","समान रीतीने विभाजित करा","சமமாக பிரிந்தது","సమానంగా విభజించబడింది","یکساں طور پر تقسیم"
"item-name-placeholder","Item Name","आइटम नाम","আইটেম নাম","વસ્તુનુ નામ","ഇനത്തിന്റെ പേര്","आयटम नाव","பொருளின் பெயர்","వస్తువు పేరు","شے کا نام"
"reset-bill-question","Reset Bill?","बिल रीसेट करें?","বিল রিসেট?","બિલ ફરીથી સેટ કરો?","ബിൽ പുന et സജ്ജമാക്കണോ?","रीसेट बिल?","மசோதாவை மீட்டமைக்கவா?","బిల్లును రీసెట్ చేయాలా?","بل کو دوبارہ ترتیب دیں؟"
"reset-bill-description","This will delete all items in the current bill.","यह वर्तमान बिल में सभी वस्तुओं को हटा देगा.","এটি বর্তমান বিলে সমস্ত আইটেম মুছবে.","આ વર્તમાન બિલની બધી વસ્તુઓ કા delete ી નાખશે.","ഇത് നിലവിലെ ബില്ലിലെ എല്ലാ ഇനങ്ങളും ഇല്ലാതാക്കും.","हे सध्याच्या बिलातील सर्व वस्तू हटवेल.","இது தற்போதைய மசோதாவில் உள்ள அனைத்து பொருட்களையும் நீக்கிவிடும்.","ఇది ప్రస్తుత బిల్లులోని అన్ని అంశాలను తొలగిస్తుంది.","یہ موجودہ بل میں تمام اشیاء کو حذف کردے گا."
"success-generate-loans","Success","सफलता","সাফল্য","સફળતા","പിന്തുടര്ച്ച","यश","வெற்றி","విజయం","کامیابی"
"success-generate-loans-description","Created loan transactions from bill","बिल से ऋण लेनदेन बनाया गया","বিল থেকে loan ণ লেনদেন তৈরি","બિલમાંથી લોન વ્યવહારો બનાવ્યો","ബില്ലിൽ നിന്ന് വായ്പ ഇടപാടുകൾ സൃഷ്ടിച്ചു","बिलातून कर्जाचे व्यवहार तयार केले","பில் இருந்து கடன் பரிவர்த்தனைகளை உருவாக்கியது","బిల్ నుండి రుణ లావాదేవీలను సృష్టించింది","بل سے قرض کے لین دین کو پیدا کیا"
